RecordKey	CardCode	CardName	CardType	ContactPerson	Phone1	Phone2	Fax	Cellular	DebitorAccount	PayTermsGrpCode	GroupCode	SubjectToWithholdingTax	VatGroup	VatLiable	WTCode	FederalTaxID
44	STAR	"Star Phil. Shipping Lines, Inc."	cCustomer	Epen	4165902	4166117	4166117			1				vExempted		
45	SNVA	Sto.Niño Village Home Owners Ass.	cCustomer	Mr.Art Tisolo / Arlene	2389088									vExempted		001-687-743-000
46	TUAN	Tuanson Construction	cCustomer	Bia	2693468	4918243				1				vExempted		908-376-188-000
47	USCA	University of San Carlos	cCustomer	Arch.Ellis Puerto /Ruby	2531000					4				vLiable		000-666-548-000
48	VAMC	Vam Construction	cCustomer		2553071					1				vExempted		110-501-605-000
49	VCON	Virlo Construction	cCustomer	Mr.Pongase/Apo	4202779	3438456	3438456			6				vExempted		100-072-172-000
50	VELC	Velonta Construction & Supply	cCustomer	Marivic Velonta	4224002		2316146			4				vExempted		210-900-361-000
51	VENR	Venray Construction	cCustomer	Rey Manigsaca/anamor	2623649	4169062	2610934			6				vExempted		133-397-569-000
52	VINE	Vineyard Construction	cCustomer	Ramoncito Uy	2342622	2342635				4				vExempted		108-433-586-000
53	WORL	Worldwide Builders	cCustomer	Marites						4				vExempted		924-302-516-000
54	ZION	Zion Construction	cCustomer	Mr. Arden / Momoy	2735619	2729625	2735619			6				vExempted		133-397-126-000
